"cumulative [mm/week]"; "cumulative lower 95% confidence interval"; "cumulative upper 95% confidence interval"; "return period in years"
211.08; 162.26; 259.9; 2
241.28; 172.23; 310.32; 3
265.31; 175.76; 354.86; 4
285.6; 175.76; 395.53; 5
303.33; 175.76; 433.29; 6
359.13; 175.76; 564.47; 10
410.69; 175.76; 700.39; 15
451.72; 175.76; 817.36; 20
516.63; 175.76; 1016.42; 30
568.29; 175.76; 1185.79; 40
611.91; 175.76; 1335.59; 50
650.03; 175.76; 1471.22; 60
715.07; 175.76; 1712.07; 80
769.99; 175.76; 1923.94; 100
